Mx,Mz,Fx,Fy,Fz,IA
-5.07,-8.21,-68.16,20.46,-1067.22,-0.039
-3.68,-9.29,-77.96,-5.19,-1074.87,-0.04
-3.12,-10.39,-88.99,-36.44,-1084.33,-0.04
-1.04,-10.58,-97.58,-64.92,-1099.64,-0.04
-1.92,-10.18,-105.9,-98.3,-1106.57,-0.039
-0.6,-8.59,-112.89,-130.96,-1113.58,-0.033
-0.18,-6.14,-114.76,-161.44,-1111.36,-0.034
0.08,-2.27,-108.08,-192.56,-1100.66,-0.037
0.73,3.62,-90.98,-224.36,-1087.89,-0.039
0.85,8.82,-73.15,-253.48,-1074.11,-0.03
0.66,12.68,-56.93,-283.21,-1064.79,-0.034
0.58,11.16,-58.33,-310.91,-1060.71,-0.034
1.1,7.32,-70.68,-337.97,-1061.34,-0.03
1.82,4.17,-83.38,-365.01,-1065.18,-0.03
3.54,2.88,-91.15,-394.87,-1077.27,-0.028
5.29,4.96,-90.9,-424.73,-1091.83,-0.03
7.95,7.29,-91.74,-458.02,-1109.53,-0.036
7.79,9.9,-93.3,-494.87,-1118.14,-0.033
8.31,11.26,-98.7,-528.86,-1120.59,-0.033
7.4,13.99,-96.43,-564.13,-1108.71,-0.039
8.42,16.6,-89.63,-595.94,-1096.61,-0.037
8.91,19.03,-78.73,-626.32,-1081.61,-0.039
8.5,20.06,-71.58,-653.31,-1067.66,-0.036
8.93,20.13,-67.35,-678.18,-1062.54,-0.04
9.62,19.16,-68.97,-702.44,-1062.4,-0.039
10.6,19.02,-71.91,-728.14,-1066.94,-0.034
11.96,21.75,-68.49,-753.84,-1074.55,-0.033
14.62,24.72,-67.43,-784.41,-1090.03,-0.031
16.21,26.73,-69.27,-817.06,-1107.8,-0.034
17.7,26.95,-78.7,-850.41,-1121.45,-0.033
17.16,26.13,-90.01,-885.06,-1125.44,-0.04
16.46,26.03,-96.45,-916.33,-1119.11,-0.03
16.33,28.63,-88.86,-943.95,-1104.83,-0.033
16.93,31.06,-77.62,-966.69,-1089.56,-0.036
16.72,33.26,-63.99,-988.08,-1074.23,-0.037
17.2,34.02,-55.76,-1009.5,-1067.67,-0.039
17.09,32.83,-55,-1029.63,-1064.38,-0.034
17.95,31.51,-58.44,-1053.88,-1069.13,-0.036
20.01,31.18,-62.51,-1078.06,-1077.86,-0.046
21.95,32.65,-63.36,-1104.57,-1090.28,-0.033
23.5,34.85,-63.68,-1134.44,-1105.75,-0.034
23.54,37.29,-65.16,-1165.02,-1118.93,-0.039
23.46,37.78,-74.53,-1192.14,-1125.07,-0.036
22.97,38.01,-83.61,-1216.46,-1120.9,-0.028
23.8,39.34,-84.34,-1232.95,-1108.46,-0.034
24.32,43.4,-70.21,-1249.49,-1093.84,-0.034
25.24,49.67,-43.73,-1263.86,-1080.5,-0.044
24.37,55,-20.12,-1282,-1070.4,-0.03
24.34,56.53,-8.9,-1302.16,-1070.51,-0.024
24.46,53.26,-15.46,-1322.15,-1070.99,-0.036
26.72,47.56,-32.39,-1343.61,-1079.32,-0.036
28.19,42.06,-51.72,-1366.48,-1088.08,-0.037
30.71,40.29,-60.78,-1390.06,-1103.46,-0.04
31.68,40.59,-66.9,-1416.43,-1117.06,-0.046
31.94,42.25,-70.62,-1437.38,-1122.79,-0.034
32.14,45.24,-72.75,-1459.51,-1120.51,-0.04
31.98,50.22,-65.34,-1476.81,-1111.28,-0.04
31.8,55.6,-49.62,-1495.51,-1097.04,-0.034
32.67,60.32,-27.53,-1512.08,-1085.71,-0.033
31.56,60.89,-15.25,-1529.28,-1073.05,-0.04
30.6,57.53,-15.19,-1548.76,-1068.9,-0.031
30.39,52.49,-24.15,-1567.43,-1065.81,-0.033
32.84,47.82,-34.84,-1584.69,-1072.59,-0.036
35.7,45.84,-41.5,-1602.65,-1079.76,-0.039
36.89,46.28,-43.01,-1622.78,-1086.29,-0.039
36.99,47.66,-46.01,-1645.69,-1096.63,-0.044
36.72,48.49,-53.61,-1670.06,-1103.19,-0.04
36.3,49.68,-62.96,-1689.49,-1101.72,-0.04
37.79,51.08,-70.75,-1707.47,-1096.51,-0.039
35.99,55.52,-62.71,-1726.91,-1077.74,-0.03
36.42,61.43,-43.65,-1743.37,-1062.09,-0.039
37.32,64.85,-26.68,-1757.21,-1051.87,-0.033
37.56,64.37,-20.7,-1771.68,-1047.79,-0.037
37.04,60.57,-25.04,-1786.35,-1049.02,-0.027
36.03,56.57,-31.76,-1802.16,-1051.36,-0.043
35.65,56.23,-30.28,-1819.65,-1056.34,-0.033
38.12,58.42,-25.08,-1832.86,-1067.66,-0.031
41.22,61.87,-20.43,-1845.98,-1082.36,-0.04
42.22,63.74,-26.18,-1865.51,-1091.88,-0.033
41.33,63.98,-38.84,-1887.82,-1094.29,-0.025
41.37,64.15,-49.61,-1911.89,-1092.28,-0.046
41.59,64.18,-55.47,-1930.61,-1084.78,-0.04
42.61,64,-54.5,-1949.24,-1074.77,-0.04
41.36,64.45,-46.04,-1964.43,-1060.86,-0.04
38.86,65.89,-33.03,-1978.98,-1046.4,-0.039
38.61,66.94,-23.1,-1988.69,-1039.77,-0.034
39.81,68.67,-13.98,-1996.28,-1039.9,-0.036
40.77,69.35,-11.91,-2008.77,-1040.78,-0.033
43.15,69.49,-13.19,-2021.95,-1050.58,-0.033
45.68,68.51,-18.86,-2039.35,-1065.1,-0.028
46.87,66.02,-32.4,-2062.17,-1078.61,-0.04
46.5,63.86,-49.35,-2088,-1088.13,-0.03
45.04,63.11,-62.14,-2115.05,-1088.4,-0.036
44.1,64.98,-63.49,-2135.81,-1082.03,-0.039
45.3,68.13,-55.01,-2146.91,-1075.38,-0.031
45.41,70.45,-40.84,-2155.79,-1064.21,-0.037
43.66,70.52,-29.9,-2162,-1052.35,-0.037
43.82,69.29,-24.49,-2169.62,-1049.23,-0.034
44.05,69.24,-17.74,-2179.98,-1051.32,-0.039
44.66,69.71,-12.44,-2189.68,-1053.38,-0.04
45.5,70.86,-8.73,-2202.91,-1058.54,-0.036
47.72,70.32,-14.02,-2218.84,-1071.29,-0.04
48.9,69.02,-25.44,-2237.67,-1081.81,-0.034
49.5,67.65,-39.79,-2259.87,-1091.06,-0.037
49.76,66.37,-55.57,-2279.32,-1095.98,-0.037
49.2,68.59,-59.09,-2297.3,-1092.85,-0.044
47.75,74.13,-46.32,-2307.77,-1082.2,-0.036
48.88,80.41,-22.68,-2311.88,-1076.84,-0.036
49.87,83.01,-2.85,-2311.78,-1072.55,-0.04
49.52,80.33,2.33,-2312.49,-1066.43,-0.033
47.89,75.2,-3.24,-2319.44,-1063,-0.031
47.39,70.61,-10.21,-2330.46,-1060.67,-0.037
49.31,67.19,-16.69,-2340.81,-1065.88,-0.039
50.66,65.18,-23.42,-2354.66,-1070.47,-0.04
53.22,65.35,-29.03,-2371.35,-1083.11,-0.037
53,66.88,-36.56,-2392.86,-1088.8,-0.043
53.86,70.18,-41.74,-2410.3,-1096.99,-0.037
53.95,73.71,-44.16,-2424.97,-1097.65,-0.028
53.46,77.21,-41.83,-2435.26,-1093.18,-0.04
53.09,79.21,-33.04,-2440.85,-1084.18,-0.031
51.93,79.3,-20.89,-2444.88,-1075.12,-0.04
51.79,76.82,-14.13,-2448.98,-1068.19,-0.04
52.25,73.16,-13.89,-2453.79,-1065.83,-0.04
50.41,70.04,-14.64,-2464.92,-1059.01,-0.036
50.74,68.87,-12.29,-2476.77,-1060.63,-0.028
52.58,67.71,-14.31,-2487.09,-1065.61,-0.034
54.37,66.2,-23.35,-2500.35,-1074.54,-0.027
56.38,66.57,-30.99,-2514.16,-1088.06,-0.037
55.79,69.07,-34.02,-2531.56,-1096.17,-0.04
56.45,73.6,-31.04,-2544.81,-1103.86,-0.04
56.38,77.86,-26.57,-2549.08,-1103.9,-0.03
55.97,78.71,-26.65,-2549.03,-1099,-0.033
55.18,77.54,-23.19,-2547.52,-1088.54,-0.04
54.58,74.83,-18.85,-2548.18,-1081.6,-0.039
54.33,72.11,-15.33,-2550.9,-1076.52,-0.04
54.12,70.84,-11.19,-2556.58,-1074.35,-0.024
53.86,72.46,-0.65,-2564.76,-1070.74,-0.037
54.83,74.15,6.82,-2576.48,-1073.7,-0.044
56.65,75.36,7.84,-2588.32,-1080.77,-0.04
59.07,74.7,-1.27,-2600.81,-1089.8,-0.039
60.87,72.38,-18.13,-2617.54,-1102.54,-0.033
60.45,70.38,-33.63,-2633.53,-1109.84,-0.034
58.58,69.83,-42.95,-2643.98,-1107.11,-0.034
59.27,70.51,-44.13,-2644.66,-1107.34,-0.034
59.71,73.16,-31.42,-2639.02,-1101.36,-0.039
59.12,75.55,-13.18,-2634.86,-1092.31,-0.034
57,77.19,3.34,-2634.18,-1083,-0.033
56.27,78.6,16.67,-2638.36,-1076.72,-0.028
57.42,77.12,18.44,-2646.59,-1077.42,-0.034
59.04,72.72,7.8,-2657.01,-1079.22,-0.027
58.22,68.34,-6.76,-2672.17,-1078.07,-0.037
60,66.23,-16.88,-2684.72,-1085.35,-0.03
60.27,65.89,-24.61,-2698.57,-1091.3,-0.036
62.31,66.25,-32.7,-2708.95,-1101.93,-0.04
62.57,67.17,-39.82,-2711.81,-1105.32,-0.034
60.63,67.71,-45.23,-2713.88,-1101.31,-0.039
60.4,69.29,-39.25,-2707.58,-1098.42,-0.044
60.48,70.89,-23.64,-2702.08,-1094.29,-0.036
61.24,70.79,-8.24,-2702.01,-1093.54,-0.039
59.39,71.38,6.03,-2711.07,-1088.43,-0.036
57.22,71.23,14.21,-2723.57,-1083.06,-0.036
57.88,70,14.46,-2736.02,-1081.6,-0.036
60.88,66.26,1.82,-2744.94,-1085.97,-0.039
62.65,63.63,-10.85,-2753.19,-1089.73,-0.043
64.12,62.61,-22.21,-2763.03,-1098.51,-0.031
63.75,65.04,-22.21,-2771.95,-1104.59,-0.049
63.83,69.74,-16.97,-2773.54,-1111.1,-0.034
64.55,73.86,-11.61,-2767.28,-1116.64,-0.04
63.09,76.23,-7.03,-2755.55,-1111.49,-0.036
63.07,76.05,-2.6,-2747.92,-1109.81,-0.034
61.8,73.18,1.43,-2745.75,-1100.57,-0.039
61.65,68.15,-1.55,-2755.43,-1095.99,-0.036
60.58,64.35,-1.52,-2767.94,-1090.22,-0.03
60.04,61.13,-1.24,-2780.31,-1084.99,-0.037
62.56,59.48,-0.96,-2788.64,-1086.95,-0.03
63.94,60.42,0.35,-2795.49,-1087.41,-0.036
65.47,62.77,2.21,-2803.13,-1091.61,-0.034
65.93,65.67,3.47,-2812.17,-1097.99,-0.037
68.09,68.03,1.32,-2817.76,-1113.47,-0.039
67.71,67.01,-8.11,-2815.7,-1120.51,-0.043
66.72,64.34,-19.74,-2806.05,-1122.33,-0.04
64.55,61.95,-22.46,-2799.82,-1117.05,-0.04
63.87,59.69,-16.55,-2795.04,-1113.63,-0.028
62.08,57.67,-8.2,-2793.54,-1102.94,-0.037
61.64,55.57,-2.77,-2792.72,-1094.43,-0.044
62.93,53.1,-1.2,-2796.88,-1089.44,-0.036
63.42,51.89,-0.13,-2804.44,-1081.75,-0.036
65.04,50.95,-4.56,-2814.06,-1082.66,-0.04
65.87,54.25,-0.17,-2827.34,-1085.63,-0.031
66.56,58.72,5.11,-2843.31,-1093.58,-0.036
67.36,61.91,6.87,-2853.13,-1107.37,-0.033
67.15,61.67,0.43,-2849.03,-1118.81,-0.036
67.22,57.73,-14.32,-2826.88,-1125.96,-0.034
65.18,53.52,-23.99,-2802.57,-1121.88,-0.04
65.04,51.38,-22.7,-2785.23,-1117.11,-0.036
64.25,51.26,-12.54,-2781.72,-1108.58,-0.036
61.98,53.15,2.05,-2787.91,-1094.39,-0.039
62.38,55.14,14.46,-2800.34,-1087.96,-0.039
63.15,56.01,22.47,-2814.19,-1081.36,-0.033
64.89,53.89,15.95,-2830.74,-1080.97,-0.037
65.59,51.47,4.51,-2850.16,-1083.21,-0.036
67.14,48.8,-10.16,-2868.2,-1090.64,-0.036
66.92,47.86,-18.19,-2879.34,-1098.28,-0.037
67.18,48.06,-20.25,-2877.33,-1109.31,-0.036
68.18,48.2,-22.88,-2857.27,-1118.78,-0.036
67.49,49.78,-19.75,-2833.05,-1119.06,-0.033
66.8,52.62,-8.75,-2815.7,-1115.01,-0.034
66.1,55.18,5.8,-2810.14,-1107.63,-0.033
65.67,54.97,11.82,-2816.27,-1100.2,-0.04
64.27,52.12,10,-2835.72,-1091.75,-0.033
63.69,48.51,6,-2854.29,-1084.98,-0.044
63.97,44.58,1.42,-2866.82,-1079.35,-0.033
64.97,42.08,-3.02,-2878.51,-1078.94,-0.039
66.23,40.95,-8.2,-2884.74,-1082.5,-0.039
67.68,40.5,-14.19,-2887.51,-1089.59,-0.04
69.58,41.22,-17.69,-2884.16,-1104.13,-0.034
69.56,41.29,-22.84,-2868.22,-1113.6,-0.04
68.73,41.79,-27.21,-2848.2,-1117.85,-0.037
67.81,44.94,-20.04,-2833.7,-1119.83,-0.036
66.12,50.08,0.33,-2828.84,-1115.28,-0.04
65.09,52.21,14.14,-2832.31,-1108.36,-0.037
64.45,51.1,18.2,-2846.2,-1102.06,-0.031
62.74,47.31,13.47,-2861.42,-1090.46,-0.03
62.92,42.91,7.22,-2873.03,-1082.08,-0.04
64.22,39.15,-1.07,-2880.62,-1076.65,-0.036
66.04,38.77,-5.3,-2885.42,-1075.59,-0.036
68.09,41.42,-3.34,-2890.34,-1082.38,-0.03
68.49,45.89,4.28,-2889.64,-1092.56,-0.039
69.73,48.15,5.47,-2877.26,-1108.93,-0.037
69.47,47.11,-2.46,-2858.68,-1121.2,-0.031
68.99,43.51,-15.81,-2839.98,-1127.49,-0.033
67.02,41.39,-19.22,-2836.5,-1124.86,-0.037
64.61,39.65,-15.92,-2842.02,-1115.13,-0.039
64.61,39.07,-8.54,-2853.09,-1107.72,-0.036
63.32,38.77,-1.05,-2862.07,-1094.54,-0.033
63.2,39.52,9.09,-2861.28,-1082.7,-0.036
64.28,41.86,20.06,-2858.41,-1075.98,-0.039
66.31,43.65,21.7,-2860.47,-1072.71,-0.034
68.91,44.34,15.38,-2868.72,-1079.2,-0.04
69.48,42.26,2.12,-2881.97,-1088.82,-0.036
69.04,39.47,-9.65,-2889.06,-1105,-0.031
68.53,36.07,-21.38,-2879.36,-1118.47,-0.04
67.54,32.55,-32.16,-2862.15,-1127.02,-0.034
66.26,32.23,-31.96,-2853.85,-1127,-0.036
66,33.81,-21.96,-2851.04,-1122.28,-0.039
65.38,33.8,-13.58,-2853.73,-1110.57,-0.04
65.73,32.99,-8.61,-2860.66,-1101.05,-0.031
64.29,32.34,-2.97,-2865.33,-1085.01,-0.043
65.39,32.26,2.5,-2869.49,-1077.57,-0.034
65.19,33.7,6.73,-2877.07,-1071.83,-0.037
65.73,35.6,7.38,-2885.39,-1073.84,-0.039
66.95,36.79,4.33,-2889.6,-1085.22,-0.039
68.18,36.29,-1.78,-2888.31,-1102.39,-0.037
68.05,33.39,-15.4,-2875.93,-1118.79,-0.037
67.88,31.42,-26.21,-2854.49,-1127.66,-0.039
66.74,32.79,-26.23,-2838.61,-1128.3,-0.036
65.69,37.29,-13.39,-2834.46,-1122.61,-0.036
66.01,42.15,5.71,-2837.81,-1114.86,-0.043
64.12,43.99,17.85,-2851.71,-1101.88,-0.036
63.64,41.78,18.34,-2864.83,-1089.58,-0.033
63.47,37.72,14.29,-2872.37,-1078.94,-0.033
64.92,32.62,3.99,-2881.97,-1075.48,-0.036
65.62,28.31,-7.68,-2889.55,-1076.64,-0.037
66.12,26.23,-15.8,-2890.91,-1078.66,-0.04
67.95,26.77,-16.03,-2887.55,-1091.47,-0.033
67.58,28.83,-11.98,-2878.63,-1105.84,-0.036
68.51,31.51,-9.3,-2849.64,-1121.4,-0.031
68.47,33.02,-12.7,-2822.65,-1128.89,-0.033
67.35,35.43,-11.61,-2815.74,-1130.93,-0.036
67.17,36.1,-8.81,-2819.23,-1126.06,-0.03
65.29,35,-4.32,-2835.11,-1114.98,-0.034
62.75,32.09,-3.86,-2856.51,-1101.23,-0.04
61.46,29.36,-1.51,-2867.56,-1088.75,-0.039
62.56,26.58,-0.5,-2868.18,-1080.48,-0.036
63.96,24.82,-2.88,-2865.23,-1077.35,-0.047
66.54,22.86,-10.8,-2856.3,-1081.27,-0.033
68,22.68,-15.96,-2847.27,-1087.71,-0.036
68.16,24.94,-15.52,-2843.31,-1104.17,-0.027
68.56,28.99,-11.11,-2830.89,-1120.7,-0.034
69.14,32.33,-11.19,-2813.68,-1134.57,-0.03
67.35,34.54,-12.04,-2809.54,-1138.32,-0.037
65.72,34.96,-12.47,-2816.52,-1134.2,-0.034
64.96,32.57,-12.71,-2826.86,-1125.43,-0.036
62.25,29.87,-9.5,-2842.73,-1109.91,-0.039
61.1,26.5,-9.51,-2851.69,-1095.94,-0.036
60.76,25.72,-2.55,-2844.62,-1081.3,-0.04
62.06,26.94,4.4,-2837.61,-1074.13,-0.04
63.67,28.73,6.81,-2835.54,-1072.53,-0.034
67.53,30.24,5.12,-2831.31,-1082.41,-0.039
69.28,30.73,2.79,-2832.12,-1098.3,-0.033
68.74,29.51,-3.38,-2833.64,-1116.37,-0.033
68.91,27.3,-13.38,-2824.71,-1134.8,-0.036
67.15,24.55,-27.53,-2817.14,-1142.48,-0.04
64.38,23.73,-35.4,-2817.26,-1140.63,-0.033
64.32,26.01,-25.33,-2813.03,-1132.56,-0.036
64.89,29.91,-5.18,-2810.19,-1121.38,-0.034
62.19,33.51,14.47,-2814.29,-1102.56,-0.036
61.47,34.41,24.86,-2811.51,-1086.93,-0.028
62.44,33.04,26.38,-2806.49,-1077.79,-0.036
62.43,29.18,15.11,-2814.72,-1073.53,-0.04
64.29,25.83,1.55,-2824.39,-1077.26,-0.04
67.3,22.92,-10.82,-2832.07,-1092.33,-0.036
68.13,21.49,-15.34,-2839.79,-1109.8,-0.036
67.88,19.82,-21.97,-2831.58,-1127.54,-0.037
68.83,18.95,-29.2,-2812.26,-1142.24,-0.034
67.84,19.65,-33.19,-2801.81,-1144.08,-0.046
66.38,20.7,-30.14,-2794.96,-1139.52,-0.037
65.17,18.15,-29.55,-2790.06,-1125.92,-0.033
62.37,10.81,-37.52,-2792.7,-1108.32,-0.039
60.72,-1.01,-57.5,-2795.36,-1092.73,-0.039
61.03,-13.76,-79.99,-2789.72,-1080.98,-0.033
61.93,-24.13,-99.35,-2792.39,-1077.65,-0.034
61.22,-28.78,-109.21,-2808.34,-1079.28,-0.036
61.87,-28.86,-113.26,-2825.11,-1091.13,-0.03
61.86,-24.71,-108.13,-2842.52,-1109.43,-0.037
60.58,-18.8,-100.29,-2851.05,-1128.15,-0.036
61.83,-10.2,-86.15,-2831.75,-1142.35,-0.034
62.62,1.58,-65.55,-2804.11,-1145.83,-0.03
62.58,14.36,-40.76,-2781.21,-1138.95,-0.034
63.77,23.02,-20.55,-2756.85,-1126.45,-0.034
64.45,26.86,-6.51,-2750.48,-1112.81,-0.037
62.75,26.95,-0.69,-2768.5,-1100.87,-0.034
59.12,25.55,2.9,-2792.09,-1087.35,-0.033
58.72,24.61,6.5,-2814.85,-1082.6,-0.043
57.01,23.19,4.5,-2844.09,-1082.63,-0.036
56.42,19.55,-9.16,-2859.37,-1084.45,-0.034
59.07,13.31,-31.95,-2855.16,-1093.09,-0.036
61.32,7.8,-53.45,-2846.15,-1106.46,-0.036
63.91,4.76,-66.97,-2824,-1121.93,-0.034
66.21,5.26,-71.39,-2794.83,-1130.82,-0.04
67.09,9.65,-65.96,-2783.17,-1135.92,-0.03
64.66,16.27,-49.3,-2786.61,-1129.21,-0.039
63.79,21.71,-29.92,-2796.38,-1125.11,-0.033
60.32,25.62,-10.46,-2814.42,-1112.42,-0.034
56.23,27.93,3.74,-2831.76,-1099.47,-0.037
54.4,28.76,12.05,-2835.24,-1087.33,-0.033
53.54,28.37,12.16,-2840.04,-1077.28,-0.034
55.4,26.68,2.36,-2842.09,-1075.9,-0.03
59.79,24.75,-9.92,-2834.38,-1081.84,-0.03
64.32,23.15,-20.02,-2823.85,-1094.07,-0.039
66.68,22.52,-25.58,-2815.62,-1110.2,-0.033
67.56,22.91,-29.74,-2802.48,-1125.64,-0.039
66.26,24.31,-33.65,-2794.28,-1132.5,-0.036
62.65,27.5,-31.48,-2803.39,-1130.95,-0.039
59.91,31.41,-20.02,-2815.95,-1126.9,-0.036
57.38,34.07,-3.62,-2830.49,-1116.48,-0.039
54.27,33.5,4.6,-2842.97,-1102.56,-0.037
53.56,31.03,6.96,-2844.36,-1090.93,-0.028
55.83,27.98,4.64,-2833.09,-1084,-0.034
58.88,26.27,-0.47,-2820.47,-1080.05,-0.037
61.99,26.56,-5.17,-2813.46,-1080.03,-0.036
64.34,27.39,-10.1,-2804.47,-1085.22,-0.031
65.23,29.01,-12.78,-2806.67,-1096.52,-0.025
65.37,29.52,-19.03,-2813.67,-1114.14,-0.031
64.54,29.82,-27.26,-2817.25,-1127.89,-0.033
62.23,31.07,-32.95,-2829.11,-1134.95,-0.039
60.23,33.17,-30.33,-2845.16,-1134.59,-0.034
58.47,36.17,-16.14,-2852.78,-1127.45,-0.036
58.73,37.3,-2.53,-2851.3,-1116.44,-0.037
58.85,37.17,7.18,-2842.87,-1101.91,-0.037
59.4,36.95,14.31,-2826.78,-1086.67,-0.039
60.94,38.47,22.19,-2816.31,-1078.07,-0.036
60.9,40.07,23.05,-2813.56,-1070.97,-0.03
63.35,41.84,19.84,-2814.22,-1078.88,-0.033
64.89,44.09,18.71,-2823.31,-1093.12,-0.033
66.08,45.57,15.46,-2840.79,-1116.2,-0.031
65.57,44.37,3.78,-2854.71,-1133.48,-0.04
63.3,40.47,-16.75,-2864.59,-1140.95,-0.033
61.4,37.01,-32.12,-2869.41,-1139.87,-0.04
60.95,36.37,-29.31,-2861.03,-1129.22,-0.04
60.61,37.59,-12.02,-2848.5,-1115.6,-0.034
60.9,38.48,3.52,-2836.62,-1098.89,-0.031
60.3,37.75,12.54,-2826.07,-1083.86,-0.037
61.05,35.06,12.88,-2819.09,-1077.37,-0.033
62.11,31.72,4.92,-2823.22,-1077.24,-0.033
62.59,28.54,-7.51,-2837.04,-1083.75,-0.04
62.76,26.34,-20.16,-2853.75,-1094.93,-0.04
62.65,24.92,-30.22,-2870.56,-1109.25,-0.033
63.68,25.3,-35.92,-2872.67,-1124.92,-0.039
64.21,25.12,-45.47,-2863.77,-1134.93,-0.033
