Latitude,Longitude
42.06703,-84.24042
42.06705,-84.24041
42.06707,-84.2404
42.0671,-84.2404
42.06713,-84.24039
42.06717,-84.24038
42.0672,-84.24038
42.06724,-84.24038
42.06728,-84.24038
42.06732,-84.24038
42.06735,-84.2404
42.06739,-84.2404
42.06742,-84.24039
42.06746,-84.24038
42.0675,-84.24036
42.06755,-84.24036
42.06756,-84.24035
42.0676,-84.24035
42.06765,-84.24032
42.0677,-84.24031
42.06775,-84.24031
42.06779,-84.24032
42.06782,-84.24031
42.06786,-84.24028
42.0679,-84.24026
42.06793,-84.24024
42.06797,-84.24021
42.06802,-84.24021
42.06805,-84.24019
42.06811,-84.24018
42.06816,-84.24016
42.0682,-84.24016
42.06826,-84.24014
42.06831,-84.24012
42.06837,-84.24012
42.06841,-84.2401
42.06845,-84.24008
42.0685,-84.24006
42.06855,-84.24004
42.0686,-84.24002
42.06865,-84.24
42.0687,-84.23998
42.06875,-84.23996
42.0688,-84.23993
42.06886,-84.23991
42.06891,-84.23989
42.06896,-84.23987
42.069,-84.23984
42.06904,-84.2398
42.0691,-84.23982
42.06915,-84.23982
42.06918,-84.23979
42.06921,-84.23977
42.06925,-84.23977
42.06929,-84.23979
42.06932,-84.23977
42.06936,-84.23974
42.0694,-84.23973
42.06943,-84.23973
42.06948,-84.23974
42.06951,-84.23975
42.06955,-84.23976
42.06959,-84.23977
42.06963,-84.23978
42.06966,-84.23976
42.06971,-84.23975
42.06975,-84.23974
42.06978,-84.23972
42.06981,-84.2397
42.06985,-84.23968
42.06989,-84.23969
42.06992,-84.23969
42.06995,-84.23969
42.06998,-84.2397
42.07002,-84.2397
42.07005,-84.23972
42.07009,-84.23972
42.07013,-84.23973
42.07017,-84.23973
42.0702,-84.23973
42.07023,-84.23974
42.07025,-84.23972
42.07027,-84.23971
42.07028,-84.23969
42.07028,-84.23967
42.07027,-84.23965
42.07027,-84.23964
42.07027,-84.23962
42.07026,-84.2396
42.07026,-84.23959
42.07025,-84.23958
42.07024,-84.23956
42.07024,-84.23954
42.07023,-84.23953
42.07021,-84.23951
42.0702,-84.23949
42.07019,-84.23948
42.07018,-84.23947
42.07017,-84.23945
42.07017,-84.23942
42.07016,-84.2394
42.07015,-84.23938
42.07014,-84.23935
42.07013,-84.23933
42.07013,-84.2393
42.07012,-84.23927
42.07012,-84.23925
42.07012,-84.23923
42.07011,-84.23921
42.0701,-84.23918
42.07008,-84.23916
42.07007,-84.23914
42.07006,-84.23912
42.07004,-84.2391
42.07003,-84.23909
42.07002,-84.23908
42.07,-84.23908
42.07002,-84.23908
42.07,-84.23904
42.06999,-84.23901
42.06999,-84.23897
42.06999,-84.23894
42.06997,-84.23892
42.06996,-84.23891
42.06995,-84.23888
42.06994,-84.23884
42.06992,-84.23882
42.06991,-84.23879
42.06989,-84.23876
